ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
306	66	0	0	0.000000	1.045455	1.045455	0.000000	0.000000	0	0	0
307	84	1	0	0.000000	1.023810	1.023810	0.000000	0.000000	0	0	0
308	8	2	1	0.000000	19.125000	15.250000	0.000000	0.000000	0	0	0
309	2	2	1	0.000000	20.000000	16.000000	0.000000	0.000000	0	0	0
310	6	2	1	0.000000	21.166667	19.000000	0.000000	0.000000	0	0	0
311	2	2	1	0.000000	21.500000	20.500000	0.000000	0.000000	0	0	0
312	30	1	2	0.000000	18.800000	15.166667	0.000000	0.000000	0	0	0
313	46	1	2	0.000000	20.304348	13.913043	0.000000	0.000000	0	0	0
314	2	1	2	0.000000	20.500000	13.000000	0.000000	0.000000	0	0	0
315	6	1	1	0.000000	25.166667	14.666667	0.000000	0.000000	0	0	0
316	24	1	2	0.000000	20.375000	13.833333	0.000000	0.000000	0	0	0
317	56	1	1	0.000000	19.821429	13.071429	0.000000	0.000000	0	0	0
318	22	1	1	0.000000	13.545455	8.636364	0.000000	0.000000	0	0	0
319	29	1	2	0.000000	16.482759	7.862069	0.000000	0.000000	0	0	0
320	47	1	1	0.000000	20.085106	14.148936	0.000000	0.000000	0	0	0
321	19	1	2	0.000000	22.368421	17.842105	0.000000	0.000000	0	0	0
322	45	2	1	0.000000	17.822222	12.266667	0.000000	0.000000	0	0	0
323	32	2	1	0.000000	20.281250	16.187500	0.000000	0.000000	0	0	0
324	70	2	2	0.000000	22.928571	14.500000	0.000000	0.000000	0	0	0
325	12	2	1	0.000000	26.833333	19.916667	0.000000	0.000000	0	0	0
326	14	2	1	0.000000	20.928571	16.785714	0.000000	0.000000	0	0	0
327	5	1	1	0.000000	21.200000	5.600000	0.000000	0.000000	0	0	0
328	2	1	2	0.000000	23.500000	23.500000	0.000000	0.000000	0	0	0
329	3	1	2	0.000000	22.666667	22.666667	0.000000	0.000000	0	0	0
330	3	1	2	0.000000	23.000000	22.000000	0.000000	0.000000	0	0	0
331	6	1	2	0.000000	19.166667	16.333333	0.000000	0.000000	0	0	0
332	96	1	1	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
333	7	2	2	0.000000	19.571429	1.428571	0.000000	0.000000	0	0	0
334	60	2	2	0.000000	18.833333	8.616667	0.000000	0.000000	0	0	0
335	1	1	1	0.000000	26.000000	14.000000	0.000000	0.000000	0	0	0
336	65	1	1	0.000000	1.030769	1.030769	0.000000	0.000000	0	0	0
337	81	2	2	0.000000	16.753086	10.617284	0.000000	0.000000	0	0	0
338	77	0	1	0.000000	1.168831	1.168831	0.000000	0.000000	0	0	0
339	8	2	2	0.000000	22.500000	11.000000	0.000000	0.000000	0	0	0
340	1	1	1	0.000000	19.000000	13.000000	0.000000	0.000000	0	0	0
341	21	1	2	0.000000	25.666667	15.952381	0.000000	0.000000	0	0	0
342	3	1	2	0.000000	20.333333	13.000000	0.000000	0.000000	0	0	0
343	30	2	2	0.000000	20.100000	3.033333	0.000000	0.000000	0	0	0
344	20	1	2	0.000000	23.050000	9.350000	0.000000	0.000000	0	0	0
345	6	1	2	0.000000	19.833333	11.000000	0.000000	0.000000	0	0	0
346	3	2	2	0.000000	20.666667	5.000000	0.000000	0.000000	0	0	0
347	1	1	1	0.000000	18.000000	9.000000	0.000000	0.000000	0	0	0
348	11	2	1	0.000000	18.000000	11.363636	0.000000	0.000000	0	0	0
349	55	1	1	0.000000	1.072727	1.072727	0.000000	0.000000	0	0	0
